r/R(chord),c/R,r/R(pitch),twist (deg)
"[0.03805239 0.0676741  0.0992482  0.13257362 0.16745793 0.20371734
 0.2411767  0.27966949 0.31903781 0.35913242 0.39981271 0.44094668
 0.48241101 0.52409097 0.5658805  0.60768215 0.64940713 0.69097526
 0.73231501 0.77336348 0.81406641 0.85437818 0.89426178 0.93368887
 0.97263973 1.01110325]","[0.1061434  0.17566101 0.22730008 0.26374595 0.28747872 0.30077328
 0.30569932 0.30412132 0.29769854 0.28788504 0.27592965 0.26287601
 0.24956254 0.23662244 0.22448371 0.21336913 0.2032963  0.19407755
 0.18532006 0.17642576 0.16659138 0.15480845 0.13986326 0.12033692
 0.09460531 0.06083911]","[0.00492627 0.00780475 0.01118109 0.01559837 0.02151417 0.02930053
 0.03924399 0.05154556 0.06632071 0.08359942 0.10332613 0.12535977
 0.14947375 0.17535595 0.20261171 0.23081135 0.25955252 0.28846846
 0.31723575 0.34559068 0.37333299 0.40032587 0.42649594 0.45183326
 0.47639137 0.50028722 0.52370121 0.5468762  0.57009781 0.5936653
 0.61788717 0.64308114 0.66957419 0.69770253 0.7278116  0.76025607
 0.79539988 0.83361616 0.87528731 0.92080495 0.97056996 1.02499244]","[12.9423458  13.11869365 13.52351011 14.09081386 14.76118602 15.4817702
 16.2062725  16.89496145 17.51466807 18.03878588 18.44727082 18.72664133
 18.86997834 18.87692521 18.75362113 18.51163197 18.16654925 17.73775781
 17.24662292 16.71266658 16.15270348 15.58083736 15.00846101 14.44425625
 13.89419395 13.36153403 12.84682543 12.3479617  11.86125591 11.38303706
 10.90989014 10.4386563   9.9664328   9.49057302  9.0086865   8.51863887
  8.01855194  7.5068036   6.98202789  6.443115    5.88921122  5.31971899]"
"[0.03805239 0.0676741  0.0992482  0.13257362 0.16745793 0.20371734
 0.2411767  0.27966949 0.31903781 0.35913242 0.39981271 0.44094668
 0.48241101 0.52409097 0.5658805  0.60768215 0.64940713 0.69097526
 0.73231501 0.77336348 0.81406641 0.85437818 0.89426178 0.93368887
 0.97263973 1.01110325]","[0.1061434  0.1875725  0.24838949 0.29173384 0.32049854 0.33733008
 0.34462844 0.34454712 0.3389931  0.32962688 0.31786245 0.3048673
 0.29156243 0.27862233 0.266475   0.25530193 0.24503814 0.23537212
 0.22574586 0.21535488 0.20314818 0.18782827 0.16785114 0.14142632
 0.10651681 0.06083911]","[0.00492627 0.00780475 0.01118109 0.01559837 0.02151417 0.02930053
 0.03924399 0.05154556 0.06632071 0.08359942 0.10332613 0.12535977
 0.14947375 0.17535595 0.20261171 0.23081135 0.25955252 0.28846846
 0.31723575 0.34559068 0.37333299 0.40032587 0.42649594 0.45183326
 0.47639137 0.50028722 0.52370121 0.5468762  0.57009781 0.5936653
 0.61788717 0.64308114 0.66957419 0.69770253 0.7278116  0.76025607
 0.79539988 0.83361616 0.87528731 0.92080495 0.97056996 1.02499244]","[12.9423458  13.19208068 13.78982699 14.63219248 15.62692862 16.69293059
 17.76023732 18.77003145 19.67463935 20.43753112 21.03332057 21.44776525
 21.67776643 21.73136911 21.62741013 21.38987614 21.04050928 20.5978695
 20.07787646 19.49495264 18.86228164 18.19180927 17.49424356 16.77905478
 16.05447538 15.32750008 14.60388576 13.88816125 13.18381473 12.49357214
 11.81943903 11.16270062 10.52392177  9.90294697  9.29890039  8.71018582
  8.13448671  7.56876615  7.00926689  6.45151131  5.89030145  5.31971899]"
"[0.03805239 0.0676741  0.0992482  0.13257362 0.16745793 0.20371734
 0.2411767  0.27966949 0.31903781 0.35913242 0.39981271 0.44094668
 0.48241101 0.52409097 0.5658805  0.60768215 0.64940713 0.69097526
 0.73231501 0.77336348 0.81406641 0.85437818 0.89426178 0.93368887
 0.97263973 1.01110325]","[0.1061434  0.1671528  0.21223623 0.2437546  0.26389313 0.27466128
 0.27789281 0.27524575 0.26820243 0.25806944 0.24597765 0.23288223
 0.21956261 0.20662251 0.19448993 0.18341713 0.17348069 0.16458144
 0.15644449 0.14861925 0.14047938 0.13122286 0.11987191 0.10527306
 0.0860971  0.06083911]","[0.00492627 0.00780475 0.01118109 0.01559837 0.02151417 0.02930053
 0.03924399 0.05154556 0.06632071 0.08359942 0.10332613 0.12535977
 0.14947375 0.17535595 0.20261171 0.23081135 0.25955252 0.28846846
 0.31723575 0.34559068 0.37333299 0.40032587 0.42649594 0.45183326
 0.47639137 0.50028722 0.52370121 0.5468762  0.57009781 0.5936653
 0.61788717 0.64308114 0.66957419 0.69770253 0.7278116  0.76025607
 0.79539988 0.83361616 0.87528731 0.92080495 0.97056996 1.02499244]","[12.9423458  13.10646248 13.47912396 14.00058408 14.61689558 15.27991014
 15.94727836 16.58244978 17.15467286 17.638995   18.01626252 18.27312068
 18.40201366 18.40118456 18.27465629 18.03192461 17.68755591 17.26107252
 16.77474733 16.24895224 15.70110712 15.14567538 14.59416392 14.05512316
 13.53414705 13.03387302 12.55398204 12.09126178 11.64082944 11.19794788
 10.75829866 10.31798225  9.87351797  9.42184403  8.96031752  8.48671438
  7.99922947  7.4964765   6.97748806  6.44171562  5.88902952  5.31971899]"
"[0.03805239 0.0676741  0.0992482  0.13257362 0.16745793 0.20371734
 0.2411767  0.27966949 0.31903781 0.35913242 0.39981271 0.44094668
 0.48241101 0.52409097 0.5658805  0.60768215 0.64940713 0.69097526
 0.73231501 0.77336348 0.81406641 0.85437818 0.89426178 0.93368887
 0.97263973 1.01110325]","[0.1061434  0.16204787 0.20319791 0.2317598  0.24974178 0.25899408
 0.2612089  0.25792041 0.25050476 0.24018007 0.22800645 0.21488596
 0.20156266 0.18862256 0.17649366 0.16544593 0.15559133 0.14688377
 0.13911915 0.13193534 0.12481218 0.11707151 0.1078771  0.09623474
 0.08099217 0.06083911]","[0.00492627 0.00780475 0.01118109 0.01559837 0.02151417 0.02930053
 0.03924399 0.05154556 0.06632071 0.08359942 0.10332613 0.12535977
 0.14947375 0.17535595 0.20261171 0.23081135 0.25955252 0.28846846
 0.31723575 0.34559068 0.37333299 0.40032587 0.42649594 0.45183326
 0.47639137 0.50028722 0.52370121 0.5468762  0.57009781 0.5936653
 0.61788717 0.64308114 0.66957419 0.69770253 0.7278116  0.76025607
 0.79539988 0.83361616 0.87528731 0.92080495 0.97056996 1.02499244]","[12.9423458  13.11053953 13.49391935 14.03066067 14.66499239 15.34719683
 16.03360974 16.68662033 17.27467127 17.77225863 18.15993196 18.42429423
 18.55800188 18.55976478 18.43431124 18.19182707 17.84722036 17.41996762
 16.9320392  16.40352369 15.85163924 15.29072937 14.73226295 14.18483419
 13.65416268 13.14309336 12.65159651 12.17682842 11.71430493 11.25964427
 10.80882915 10.35820693  9.90448958  9.4447537   8.97644051  8.49735588
  8.00567029  7.49991887  6.97900134  6.44218208  5.88909009  5.31971899]"
"[0.03805239 0.0676741  0.0992482  0.13257362 0.16745793 0.20371734
 0.2411767  0.27966949 0.31903781 0.35913242 0.39981271 0.44094668
 0.48241101 0.52409097 0.5658805  0.60768215 0.64940713 0.69097526
 0.73231501 0.77336348 0.81406641 0.85437818 0.89426178 0.93368887
 0.97263973 1.01110325]","[0.1061434  0.16587657 0.20997665 0.2407559  0.26035529 0.27074448
 0.27372183 0.27091441 0.26377801 0.2535971  0.24148485 0.22838316
 0.21506262 0.20212252 0.18999086 0.17892433 0.16900835 0.16015702
 0.15211316 0.14444827 0.13656258 0.12768502 0.11687321 0.10301348
 0.08482087 0.06083911]","[0.00492627 0.00780475 0.01118109 0.01559837 0.02151417 0.02930053
 0.03924399 0.05154556 0.06632071 0.08359942 0.10332613 0.12535977
 0.14947375 0.17535595 0.20261171 0.23081135 0.25955252 0.28846846
 0.31723575 0.34559068 0.37333299 0.40032587 0.42649594 0.45183326
 0.47639137 0.50028722 0.52370121 0.5468762  0.57009781 0.5936653
 0.61788717 0.64308114 0.66957419 0.69770253 0.7278116  0.76025607
 0.79539988 0.83361616 0.87528731 0.92080495 0.97056996 1.02499244]","[12.9423458  13.07180749 13.35336321 13.74493306 14.20807269 14.70797329
 15.21346164 15.69700005 16.13468642 16.50625419 16.79507236 16.9881455
 17.07611373 17.05325272 16.91758926 16.67275375 16.33040812 15.91046422
 15.4377665  14.93509493 14.4215841  13.91271642 13.42032216 12.95257942
 12.51401415 12.10550017 11.72425911 11.36394533 11.01628777 10.67352853
 10.32878946  9.97607243  9.61025929  9.22711189  8.82327207  8.39626166
  7.9444825   7.46721641  6.9646252   6.43775069  5.88851469  5.31971899]"
"[0.03805239 0.0676741  0.0992482  0.13257362 0.16745793 0.20371734
 0.2411767  0.27966949 0.31903781 0.35913242 0.39981271 0.44094668
 0.48241101 0.52409097 0.5658805  0.60768215 0.64940713 0.69097526
 0.73231501 0.77336348 0.81406641 0.85437818 0.89426178 0.93368887
 0.97263973 1.01110325]","[0.1061434  0.14843473 0.17909574 0.19977364 0.21200484 0.21721488
 0.21671847 0.21171949 0.20331097 0.19247511 0.18008325 0.16689592
 0.15356278 0.14062268 0.12850361 0.11752273 0.10788637 0.09968999
 0.09291823 0.08744491 0.08303298 0.07933457 0.07589095 0.07213257
 0.06737903 0.06083911]","[0.00492627 0.00780475 0.01118109 0.01559837 0.02151417 0.02930053
 0.03924399 0.05154556 0.06632071 0.08359942 0.10332613 0.12535977
 0.14947375 0.17535595 0.20261171 0.23081135 0.25955252 0.28846846
 0.31723575 0.34559068 0.37333299 0.40032587 0.42649594 0.45183326
 0.47639137 0.50028722 0.52370121 0.5468762  0.57009781 0.5936653
 0.61788717 0.64308114 0.66957419 0.69770253 0.7278116  0.76025607
 0.79539988 0.83361616 0.87528731 0.92080495 0.97056996 1.02499244]","[12.9423458  13.09626983 13.44213551 13.92539261 14.49665356 15.11169342
 15.73144991 16.32202339 16.85467685 17.30583594 17.65708895 17.89518681
 18.01204309 18.00473402 17.87551893 17.63216848 17.28839479 16.86383479
 16.38151768 15.86252362 15.32477682 14.78304039 14.24891634 13.73084559
 13.23410796 12.76082218 12.30994589 11.87734518 11.45714071 11.04370689
 10.63197243 10.21742054  9.79608895  9.36456987  8.92001003  8.46011064
  7.98312742  7.48787059  6.97370487  6.44054946  5.8888781   5.31971899]"
"[0.03805239 0.0676741  0.0992482  0.13257362 0.16745793 0.20371734
 0.2411767  0.27966949 0.31903781 0.35913242 0.39981271 0.44094668
 0.48241101 0.52409097 0.5658805  0.60768215 0.64940713 0.69097526
 0.73231501 0.77336348 0.81406641 0.85437818 0.89426178 0.93368887
 0.97263973 1.01110325]","[0.1061434  0.16630198 0.21072984 0.24175547 0.26153457 0.27205008
 0.27511215 0.27235819 0.26525282 0.25508788 0.24298245 0.22988285
 0.21656262 0.20362252 0.19149055 0.18042193 0.17049913 0.16163183
 0.15355693 0.1458386  0.13786818 0.1288643  0.11787278 0.10376667
 0.08524628 0.06083911]","[0.00492627 0.00780475 0.01118109 0.01559837 0.02151417 0.02930053
 0.03924399 0.05154556 0.06632071 0.08359942 0.10332613 0.12535977
 0.14947375 0.17535595 0.20261171 0.23081135 0.25955252 0.28846846
 0.31723575 0.34559068 0.37333299 0.40032587 0.42649594 0.45183326
 0.47639137 0.50028722 0.52370121 0.5468762  0.57009781 0.5936653
 0.61788717 0.64308114 0.66957419 0.69770253 0.7278116  0.76025607
 0.79539988 0.83361616 0.87528731 0.92080495 0.97056996 1.02499244]","[12.9423458  13.11665512 13.51611242 14.07577556 14.73713761 15.44812686
 16.16310681 16.84287617 17.45466887 17.97215406 18.3754361  18.65105456
 18.79198423 18.7976351  18.67379365 18.43168075 18.08671703 17.65831026
 17.16797699 16.63538086 16.07743742 15.50831036 14.93941149 14.37940074
 13.83418614 13.30692386 12.7980182  12.30517838 11.82451817 11.35218886
 10.8846249  10.41854396  9.95094699  9.47911819  9.000625    8.51331813
  8.01533153  7.50508241  6.98127125  6.44288177  5.88918094  5.31971899]"
"[0.03805239 0.0676741  0.0992482  0.13257362 0.16745793 0.20371734
 0.2411767  0.27966949 0.31903781 0.35913242 0.39981271 0.44094668
 0.48241101 0.52409097 0.5658805  0.60768215 0.64940713 0.69097526
 0.73231501 0.77336348 0.81406641 0.85437818 0.89426178 0.93368887
 0.97263973 1.01110325]","[0.1061434  0.16587657 0.20997665 0.2407559  0.26035529 0.27074448
 0.27372183 0.27091441 0.26377801 0.2535971  0.24148485 0.22838316
 0.21506262 0.20212252 0.18999086 0.17892433 0.16900835 0.16015702
 0.15211316 0.14444827 0.13656258 0.12768502 0.11687321 0.10301348
 0.08482087 0.06083911]","[0.00492627 0.00780475 0.01118109 0.01559837 0.02151417 0.02930053
 0.03924399 0.05154556 0.06632071 0.08359942 0.10332613 0.12535977
 0.14947375 0.17535595 0.20261171 0.23081135 0.25955252 0.28846846
 0.31723575 0.34559068 0.37333299 0.40032587 0.42649594 0.45183326
 0.47639137 0.50028722 0.52370121 0.5468762  0.57009781 0.5936653
 0.61788717 0.64308114 0.66957419 0.69770253 0.7278116  0.76025607
 0.79539988 0.83361616 0.87528731 0.92080495 0.97056996 1.02499244]","[12.9423458  13.13907893 13.59748702 14.24119681 15.00167007 15.81820365
 16.63792939 17.41581423 18.1146601  18.705104   19.16561797 19.48250909
 19.64991948 19.6698263  19.55189585 19.31114424 18.96487148 18.53223328
 18.03308224 17.48552382 16.90536408 16.30610734 15.69895616 15.0928114
 14.49427213 13.90763571 13.33489775 12.77579491 12.22863336 11.69151902
 11.16254261 10.63977972 10.12129085  9.60512134  9.08930147  8.57184636
  8.05075604  7.52401542  6.98959428  6.44544731  5.88951406  5.31971899]"
"[0.03805239 0.0676741  0.0992482  0.13257362 0.16745793 0.20371734
 0.2411767  0.27966949 0.31903781 0.35913242 0.39981271 0.44094668
 0.48241101 0.52409097 0.5658805  0.60768215 0.64940713 0.69097526
 0.73231501 0.77336348 0.81406641 0.85437818 0.89426178 0.93368887
 0.97263973 1.01110325]","[0.1061434  0.18544545 0.24462352 0.286736   0.31460214 0.33080208
 0.33767681 0.33732823 0.33161908 0.32217298 0.31037445 0.29736886
 0.28406245 0.27112235 0.25897655 0.24781393 0.23758424 0.22799809
 0.21852697 0.20840325 0.19662018 0.18193187 0.16285331 0.13766036
 0.10438975 0.06083911]","[0.00492627 0.00780475 0.01118109 0.01559837 0.02151417 0.02930053
 0.03924399 0.05154556 0.06632071 0.08359942 0.10332613 0.12535977
 0.14947375 0.17535595 0.20261171 0.23081135 0.25955252 0.28846846
 0.31723575 0.34559068 0.37333299 0.40032587 0.42649594 0.45183326
 0.47639137 0.50028722 0.52370121 0.5468762  0.57009781 0.5936653
 0.61788717 0.64308114 0.66957419 0.69770253 0.7278116  0.76025607
 0.79539988 0.83361616 0.87528731 0.92080495 0.97056996 1.02499244]","[12.9423458  13.09830836 13.4495332  13.9404309  14.52070196 15.14533676
 15.7746156  16.37410867 16.91467605 17.37246775 17.72892366 17.97077358
 18.0900372  18.08402413 17.9553464  17.7121197  17.36822702 16.94328234
 16.46016361 15.93980934 15.40004288 14.85556739 14.31796586 13.79570111
 13.29411578 12.81543235 12.35875312 11.9201285  11.49387846 11.07455509
 10.65723767 10.23753288  9.81157475  9.3760247   8.92807153  8.46543139
  7.98634783  7.48959177  6.9744615   6.44078269  5.88890838  5.31971899]"
"[0.03805239 0.0676741  0.0992482  0.13257362 0.16745793 0.20371734
 0.2411767  0.27966949 0.31903781 0.35913242 0.39981271 0.44094668
 0.48241101 0.52409097 0.5658805  0.60768215 0.64940713 0.69097526
 0.73231501 0.77336348 0.81406641 0.85437818 0.89426178 0.93368887
 0.97263973 1.01110325]","[0.1061434  0.14971097 0.18135531 0.20277234 0.21554267 0.22113168
 0.22088945 0.21605083 0.20773539 0.19694745 0.18457605 0.17139498
 0.15806277 0.14512267 0.13300268 0.12201553 0.11235871 0.1041144
 0.09724957 0.09161589 0.08694978 0.08287241 0.07888965 0.07439215
 0.06865527 0.06083911]","[0.00492627 0.00780475 0.01118109 0.01559837 0.02151417 0.02930053
 0.03924399 0.05154556 0.06632071 0.08359942 0.10332613 0.12535977
 0.14947375 0.17535595 0.20261171 0.23081135 0.25955252 0.28846846
 0.31723575 0.34559068 0.37333299 0.40032587 0.42649594 0.45183326
 0.47639137 0.50028722 0.52370121 0.5468762  0.57009781 0.5936653
 0.61788717 0.64308114 0.66957419 0.69770253 0.7278116  0.76025607
 0.79539988 0.83361616 0.87528731 0.92080495 0.97056996 1.02499244]","[12.9423458  13.19004215 13.7824293  14.61715419 15.60288021 16.65928725
 17.71707163 18.71794618 19.61464015 20.3708993  20.96148585 21.37217847
 21.59977232 21.65207901 21.54758266 21.30992492 20.96067706 20.51842195
 19.99923053 19.41766692 18.78701558 18.11928227 17.42519405 16.71419926
 15.99446757 15.27288991 14.55507853 13.84537793 13.14707699 12.46272394
 11.79417378 11.14258828 10.50843596  9.89149214  9.2908389   8.70486507
  8.1312663   7.56704497  7.00851025  6.45127808  5.89027117  5.31971899]"
"[0.03805239 0.0676741  0.0992482  0.13257362 0.16745793 0.20371734
 0.2411767  0.27966949 0.31903781 0.35913242 0.39981271 0.44094668
 0.48241101 0.52409097 0.5658805  0.60768215 0.64940713 0.69097526
 0.73231501 0.77336348 0.81406641 0.85437818 0.89426178 0.93368887
 0.97263973 1.01110325]","[0.1061434  0.18714709 0.24763629 0.29073427 0.31931926 0.33602448
 0.34323812 0.34310334 0.3375183  0.3281361  0.31636485 0.30336761
 0.29006243 0.27712233 0.26497531 0.25380433 0.24354736 0.23389731
 0.22430208 0.21396456 0.20184258 0.18664899 0.16685158 0.14067313
 0.1060914  0.06083911]","[0.00492627 0.00780475 0.01118109 0.01559837 0.02151417 0.02930053
 0.03924399 0.05154556 0.06632071 0.08359942 0.10332613 0.12535977
 0.14947375 0.17535595 0.20261171 0.23081135 0.25955252 0.28846846
 0.31723575 0.34559068 0.37333299 0.40032587 0.42649594 0.45183326
 0.47639137 0.50028722 0.52370121 0.5468762  0.57009781 0.5936653
 0.61788717 0.64308114 0.66957419 0.69770253 0.7278116  0.76025607
 0.79539988 0.83361616 0.87528731 0.92080495 0.97056996 1.02499244]","[12.9423458  13.20227332 13.82681545 14.70738396 15.74717065 16.86114731
 17.97606577 19.03045784 19.97463536 20.77069018 21.39249414 21.82569912
 22.067737   22.12781966 22.02654749 21.78963228 21.4396704  20.99510724
 20.47110612 19.88138126 19.23861194 18.55444425 17.83949114 17.10333235
 16.35451447 15.60055091 14.84792192 14.10207786 13.36750346 12.64781312
 11.94576527 11.26326233 10.60135079  9.96022113  9.33920788  8.73678957
  8.15058876  7.57737206  7.01305008  6.45267746  5.89045287  5.31971899]"
