r/R(chord),c/R,r/R(pitch),twist (deg)
"[0.03805239 0.0676741  0.0992482  0.13257362 0.16745793 0.20371734
 0.2411767  0.27966949 0.31903781 0.35913242 0.39981271 0.44094668
 0.48241101 0.52409097 0.5658805  0.60768215 0.64940713 0.69097526
 0.73231501 0.77336348 0.81406641 0.85437818 0.89426178 0.93368887
 0.97263973 1.01110325]","[0.1061434  0.17055608 0.21826177 0.25175114 0.27332736 0.28510608
 0.28901541 0.28679598 0.28000087 0.26999568 0.25795845 0.24487974
 0.23156258 0.21862248 0.20648744 0.19539793 0.18540693 0.17637989
 0.16799472 0.15974185 0.15092418 0.14065709 0.12786845 0.1112986
 0.08950038 0.06083911]","[0.00492627 0.00780475 0.01118109 0.01559837 0.02151417 0.02930053
 0.03924399 0.05154556 0.06632071 0.08359942 0.10332613 0.12535977
 0.14947375 0.17535595 0.20261171 0.23081135 0.25955252 0.28846846
 0.31723575 0.34559068 0.37333299 0.40032587 0.42649594 0.45183326
 0.47639137 0.50028722 0.52370121 0.5468762  0.57009781 0.5936653
 0.61788717 0.64308114 0.66957419 0.69770253 0.7278116  0.76025607
 0.79539988 0.83361616 0.87528731 0.92080495 0.97056996 1.02499244]","[12.9423458  13.11461659 13.50871473 14.06073726 14.71308921 15.41448352
 16.11994112 16.79079089 17.39466967 17.90552225 18.30360139 18.57546778
 18.71399011 18.71834499 18.59396618 18.35172952 18.0068848  17.57886271
 17.08933106 16.55809513 16.00217136 15.43578337 14.87036198 14.31454522
 13.77417832 13.25231369 12.74921097 12.26239506 11.78778042 11.32134066
 10.85935965 10.39843162  9.93546119  9.46766336  8.9925635   8.50799738
  8.01211112  7.50336123  6.98051462  6.44264854  5.88915066  5.31971899]"
"[0.03805239 0.0676741  0.0992482  0.13257362 0.16745793 0.20371734
 0.2411767  0.27966949 0.31903781 0.35913242 0.39981271 0.44094668
 0.48241101 0.52409097 0.5658805  0.60768215 0.64940713 0.69097526
 0.73231501 0.77336348 0.81406641 0.85437818 0.89426178 0.93368887
 0.97263973 1.01110325]","[0.1061434  0.1752356  0.22654689 0.26274638 0.28629944 0.29946768
 0.30430899 0.30267754 0.29622374 0.28639426 0.27443205 0.26137632
 0.24806254 0.23512244 0.22298402 0.21187153 0.20180552 0.19260275
 0.18387628 0.17503544 0.16528578 0.15362917 0.13886369 0.11958373
 0.0941799  0.06083911]","[0.00492627 0.00780475 0.01118109 0.01559837 0.02151417 0.02930053
 0.03924399 0.05154556 0.06632071 0.08359942 0.10332613 0.12535977
 0.14947375 0.17535595 0.20261171 0.23081135 0.25955252 0.28846846
 0.31723575 0.34559068 0.37333299 0.40032587 0.42649594 0.45183326
 0.47639137 0.50028722 0.52370121 0.5468762  0.57009781 0.5936653
 0.61788717 0.64308114 0.66957419 0.69770253 0.7278116  0.76025607
 0.79539988 0.83361616 0.87528731 0.92080495 0.97056996 1.02499244]","[12.9423458  13.108501   13.48652165 14.01562238 14.64094399 15.31355348
 15.99044405 16.63453506 17.21467206 17.70562681 18.08809724 18.34870746
 18.48000777 18.48047467 18.35448376 18.11187584 17.76738813 17.34052007
 16.85339327 16.32623796 15.77637318 15.21820238 14.66321343 14.11997868
 13.59415487 13.08848319 12.60278928 12.1340451  11.67756718 11.22879607
 10.78356391 10.33809459  9.88900378  9.43329886  8.96837901  8.49203513
  8.00244988  7.49819768  6.9782447   6.44194885  5.8890598   5.31971899]"
"[0.03805239 0.0676741  0.0992482  0.13257362 0.16745793 0.20371734
 0.2411767  0.27966949 0.31903781 0.35913242 0.39981271 0.44094668
 0.48241101 0.52409097 0.5658805  0.60768215 0.64940713 0.69097526
 0.73231501 0.77336348 0.81406641 0.85437818 0.89426178 0.93368887
 0.97263973 1.01110325]","[0.1061434  0.17098149 0.21901496 0.25275071 0.27450664 0.28641168
 0.29040574 0.28823976 0.28147568 0.27148646 0.25945605 0.24637943
 0.23306258 0.22012248 0.20798713 0.19689553 0.18689771 0.17785469
 0.1694385  0.16113218 0.15222978 0.14183637 0.12886802 0.1120518
 0.08992579 0.06083911]","[0.00492627 0.00780475 0.01118109 0.01559837 0.02151417 0.02930053
 0.03924399 0.05154556 0.06632071 0.08359942 0.10332613 0.12535977
 0.14947375 0.17535595 0.20261171 0.23081135 0.25955252 0.28846846
 0.31723575 0.34559068 0.37333299 0.40032587 0.42649594 0.45183326
 0.47639137 0.50028722 0.52370121 0.5468762  0.57009781 0.5936653
 0.61788717 0.64308114 0.66957419 0.69770253 0.7278116  0.76025607
 0.79539988 0.83361616 0.87528731 0.92080495 0.97056996 1.02499244]","[12.9423458  13.1227707  13.53830549 14.12089045 14.80928283 15.54905689
 16.29260388 16.999132   17.63466648 18.1720495  18.59094025 18.87781489
 19.02596657 19.03550543 18.91327607 18.67153443 18.32621369 17.8966529
 17.40391479 16.86723803 16.3032356  15.72589136 15.14656004 14.57396728
 14.01420959 13.47075437 12.94443989 12.43352835 11.9347314  11.44473345
 10.96042064 10.47888099  9.99740441  9.51348269  9.02480949  8.52928037
  8.02499276  7.51024596  6.98354117  6.44358146  5.88927179  5.31971899]"
"[0.03805239 0.0676741  0.0992482  0.13257362 0.16745793 0.20371734
 0.2411767  0.27966949 0.31903781 0.35913242 0.39981271 0.44094668
 0.48241101 0.52409097 0.5658805  0.60768215 0.64940713 0.69097526
 0.73231501 0.77336348 0.81406641 0.85437818 0.89426178 0.93368887
 0.97263973 1.01110325]","[0.1061434  0.16757821 0.21298942 0.24475417 0.26507241 0.27596688
 0.27928313 0.27668953 0.26967723 0.25956022 0.24747525 0.23438192
 0.22106261 0.20812251 0.19598962 0.18491473 0.17497147 0.16605625
 0.15788827 0.15000957 0.14178498 0.13240214 0.12087148 0.10602625
 0.08652251 0.06083911]","[0.00492627 0.00780475 0.01118109 0.01559837 0.02151417 0.02930053
 0.03924399 0.05154556 0.06632071 0.08359942 0.10332613 0.12535977
 0.14947375 0.17535595 0.20261171 0.23081135 0.25955252 0.28846846
 0.31723575 0.34559068 0.37333299 0.40032587 0.42649594 0.45183326
 0.47639137 0.50028722 0.52370121 0.5468762  0.57009781 0.5936653
 0.61788717 0.64308114 0.66957419 0.69770253 0.7278116  0.76025607
 0.79539988 0.83361616 0.87528731 0.92080495 0.97056996 1.02499244]","[12.9423458  13.20431185 13.83421314 14.72242225 15.77121905 16.89479066
 18.01923146 19.08254312 20.03463457 20.83732199 21.46432886 21.9012859
 22.14573111 22.20710976 22.10637497 21.86958351 21.51950262 21.07455478
 20.54975205 19.95866698 19.313878   18.62697125 17.90854065 17.16818786
 16.41452229 15.65516108 14.89672915 14.14486118 13.4042412  12.67866132
 11.97103051 11.28337468 10.6168366   9.97167597  9.34726938  8.74211031
  8.15380917  7.57909325  7.01380672  6.45291069  5.89048315  5.31971899]"
"[0.03805239 0.0676741  0.0992482  0.13257362 0.16745793 0.20371734
 0.2411767  0.27966949 0.31903781 0.35913242 0.39981271 0.44094668
 0.48241101 0.52409097 0.5658805  0.60768215 0.64940713 0.69097526
 0.73231501 0.77336348 0.81406641 0.85437818 0.89426178 0.93368887
 0.97263973 1.01110325]","[0.1061434  0.16247328 0.2039511  0.23275936 0.25092106 0.26029968
 0.26259922 0.25936419 0.25197956 0.24167085 0.22950405 0.21638565
 0.20306265 0.19012255 0.17799335 0.16694353 0.15708211 0.14835858
 0.14056293 0.13332566 0.12611778 0.11825079 0.10887667 0.09698794
 0.08141758 0.06083911]","[0.00492627 0.00780475 0.01118109 0.01559837 0.02151417 0.02930053
 0.03924399 0.05154556 0.06632071 0.08359942 0.10332613 0.12535977
 0.14947375 0.17535595 0.20261171 0.23081135 0.25955252 0.28846846
 0.31723575 0.34559068 0.37333299 0.40032587 0.42649594 0.45183326
 0.47639137 0.50028722 0.52370121 0.5468762  0.57009781 0.5936653
 0.61788717 0.64308114 0.66957419 0.69770253 0.7278116  0.76025607
 0.79539988 0.83361616 0.87528731 0.92080495 0.97056996 1.02499244]","[12.9423458  13.15334863 13.64927086 14.34646487 15.17000891 16.05370705
 16.94008922 17.78041117 18.53465451 19.17152668 19.66846098 20.01161652
 20.19587827 20.22485705 20.11068816 19.87080283 19.52369704 19.08836611
 18.58360376 18.02652389 17.4322265  16.81379632 16.18230277 15.5468
 14.91432685 14.28990688 13.67654836 13.07527816 12.48579758 11.9074564
 11.33939934 10.78056612 10.22969148  9.68530517  9.14573195  8.6090916
  8.07329891  7.53606369  6.99489075  6.44707993  5.88972605  5.31971899]"
"[0.03805239 0.0676741  0.0992482  0.13257362 0.16745793 0.20371734
 0.2411767  0.27966949 0.31903781 0.35913242 0.39981271 0.44094668
 0.48241101 0.52409097 0.5658805  0.60768215 0.64940713 0.69097526
 0.73231501 0.77336348 0.81406641 0.85437818 0.89426178 0.93368887
 0.97263973 1.01110325]","[0.1061434  0.15992082 0.19943195 0.22676196 0.24384538 0.25246608
 0.25425727 0.25070151 0.24313073 0.23272617 0.22051845 0.20738752
 0.19406268 0.18112258 0.16899521 0.15795793 0.14813743 0.13950974
 0.13190026 0.12498371 0.11828418 0.11117511 0.10287927 0.09246878
 0.07886512 0.06083911]","[0.00492627 0.00780475 0.01118109 0.01559837 0.02151417 0.02930053
 0.03924399 0.05154556 0.06632071 0.08359942 0.10332613 0.12535977
 0.14947375 0.17535595 0.20261171 0.23081135 0.25955252 0.28846846
 0.31723575 0.34559068 0.37333299 0.40032587 0.42649594 0.45183326
 0.47639137 0.50028722 0.52370121 0.5468762  0.57009781 0.5936653
 0.61788717 0.64308114 0.66957419 0.69770253 0.7278116  0.76025607
 0.79539988 0.83361616 0.87528731 0.92080495 0.97056996 1.02499244]","[12.9423458  13.14723305 13.62707779 14.30134999 15.0978637  15.95277702
 16.81059215 17.62415534 18.3546569  18.97163125 19.45295683 19.78485619
 19.96189593 19.98698673 19.87120574 19.63094915 19.28420037 18.85002346
 18.34766597 17.79466672 17.20642832 16.59621532 15.97515422 15.35223346
 14.7343034  14.12607638 13.53012667 12.9469282  12.37558434 11.81491181
 11.2636036  10.72022909 10.18323406  9.65094067  9.12154746  8.59312935
  8.06363768  7.53090015  6.99262084  6.44638023  5.8896352   5.31971899]"
"[0.03805239 0.0676741  0.0992482  0.13257362 0.16745793 0.20371734
 0.2411767  0.27966949 0.31903781 0.35913242 0.39981271 0.44094668
 0.48241101 0.52409097 0.5658805  0.60768215 0.64940713 0.69097526
 0.73231501 0.77336348 0.81406641 0.85437818 0.89426178 0.93368887
 0.97263973 1.01110325]","[0.1061434  0.16460033 0.20771707 0.2377572  0.25681745 0.26682768
 0.26955085 0.26658308 0.25935359 0.24912476 0.23699205 0.2238841
 0.21056264 0.19762253 0.18549179 0.17443153 0.16453601 0.15573261
 0.14778182 0.14027729 0.13264578 0.12414718 0.11387451 0.1007539
 0.08354464 0.06083911]","[0.00492627 0.00780475 0.01118109 0.01559837 0.02151417 0.02930053
 0.03924399 0.05154556 0.06632071 0.08359942 0.10332613 0.12535977
 0.14947375 0.17535595 0.20261171 0.23081135 0.25955252 0.28846846
 0.31723575 0.34559068 0.37333299 0.40032587 0.42649594 0.45183326
 0.47639137 0.50028722 0.52370121 0.5468762  0.57009781 0.5936653
 0.61788717 0.64308114 0.66957419 0.69770253 0.7278116  0.76025607
 0.79539988 0.83361616 0.87528731 0.92080495 0.97056996 1.02499244]","[12.9423458  13.14111746 13.60488471 14.2562351  15.02571848 15.85184699
 16.68109508 17.4678995  18.1746593  18.77173581 19.23745268 19.55809586
 19.72791359 19.7491164  19.63172332 19.39109547 19.0447037  18.61168082
 18.11172817 17.56280954 16.98063014 16.37863433 15.76800568 15.15766691
 14.55427995 13.96224588 13.38370498 12.81857823 12.26537111 11.72236722
 11.18780786 10.65989207 10.13677665  9.61657617  9.09736297  8.57716711
  8.05397645  7.5257366   6.99035092  6.44568054  5.88954435  5.31971899]"
"[0.03805239 0.0676741  0.0992482  0.13257362 0.16745793 0.20371734
 0.2411767  0.27966949 0.31903781 0.35913242 0.39981271 0.44094668
 0.48241101 0.52409097 0.5658805  0.60768215 0.64940713 0.69097526
 0.73231501 0.77336348 0.81406641 0.85437818 0.89426178 0.93368887
 0.97263973 1.01110325]","[0.1061434  0.16374951 0.20621068 0.23575806 0.25445889 0.26421648
 0.2667702  0.26369552 0.25640398 0.2461432  0.23399685 0.22088472
 0.20756264 0.19462254 0.18249242 0.17143633 0.16155445 0.15278299
 0.14489426 0.13749664 0.13003458 0.12178862 0.11187537 0.09924752
 0.08269382 0.06083911]","[0.00492627 0.00780475 0.01118109 0.01559837 0.02151417 0.02930053
 0.03924399 0.05154556 0.06632071 0.08359942 0.10332613 0.12535977
 0.14947375 0.17535595 0.20261171 0.23081135 0.25955252 0.28846846
 0.31723575 0.34559068 0.37333299 0.40032587 0.42649594 0.45183326
 0.47639137 0.50028722 0.52370121 0.5468762  0.57009781 0.5936653
 0.61788717 0.64308114 0.66957419 0.69770253 0.7278116  0.76025607
 0.79539988 0.83361616 0.87528731 0.92080495 0.97056996 1.02499244]","[12.9423458  13.22673567 13.91558774 14.8878435  16.03575152 17.26486744
 18.49405405 19.65548118 20.69462579 21.57027193 22.25451073 22.73274043
 23.00366636 23.07930096 22.98447716 22.749047   22.39765707 21.9484778
 21.4148573  20.80880995 20.14180466 19.42476822 18.66808532 17.88159852
 17.07460828 16.25587293 15.43360869 14.61547771 13.8083564  13.01799148
 12.24894823 11.50461044 10.78718045 10.09767912  9.43594584  8.80063855
  8.18923369  7.59802625  7.02212975  6.45547623  5.89081628  5.31971899]"
"[0.03805239 0.0676741  0.0992482  0.13257362 0.16745793 0.20371734
 0.2411767  0.27966949 0.31903781 0.35913242 0.39981271 0.44094668
 0.48241101 0.52409097 0.5658805  0.60768215 0.64940713 0.69097526
 0.73231501 0.77336348 0.81406641 0.85437818 0.89426178 0.93368887
 0.97263973 1.01110325]","[0.1061434  0.15183802 0.18512128 0.20777018 0.22143907 0.22765968
 0.22784108 0.22326972 0.21510942 0.20440135 0.19206405 0.17889343
 0.16556275 0.15262265 0.14050112 0.12950353 0.11981261 0.11148843
 0.10446846 0.09856752 0.09347778 0.0887688  0.08388749 0.07815811
 0.07078232 0.06083911]","[0.00492627 0.00780475 0.01118109 0.01559837 0.02151417 0.02930053
 0.03924399 0.05154556 0.06632071 0.08359942 0.10332613 0.12535977
 0.14947375 0.17535595 0.20261171 0.23081135 0.25955252 0.28846846
 0.31723575 0.34559068 0.37333299 0.40032587 0.42649594 0.45183326
 0.47639137 0.50028722 0.52370121 0.5468762  0.57009781 0.5936653
 0.61788717 0.64308114 0.66957419 0.69770253 0.7278116  0.76025607
 0.79539988 0.83361616 0.87528731 0.92080495 0.97056996 1.02499244]","[12.9423458  13.05346073 13.28678399 13.60958841 13.99163704 14.40518319
 14.82497043 15.22823255 15.5946936  15.90656788 16.14855993 16.30786452
 16.3741667  16.33964174 16.19914201 15.95319271 15.61191811 15.1954363
 14.72995311 14.23952342 13.74418956 13.25997345 12.79887652 12.36887978
 11.97394379 11.61400866 11.28499403 10.97889544 10.68564807 10.39589476
 10.10140224  9.79506135  9.47088705  9.1240184   8.75071859  8.34837492
  7.9154988   7.45172577  6.95781545  6.43565162  5.88824214  5.31971899]"
"[0.03805239 0.0676741  0.0992482  0.13257362 0.16745793 0.20371734
 0.2411767  0.27966949 0.31903781 0.35913242 0.39981271 0.44094668
 0.48241101 0.52409097 0.5658805  0.60768215 0.64940713 0.69097526
 0.73231501 0.77336348 0.81406641 0.85437818 0.89426178 0.93368887
 0.97263973 1.01110325]","[0.1061434  0.16006262 0.19968301 0.22709515 0.24423847 0.25290128
 0.25472071 0.25118277 0.24362233 0.2332231  0.22101765 0.20788742
 0.19456268 0.18162258 0.16949511 0.15845713 0.14863436 0.14000134
 0.13238152 0.12544715 0.11871938 0.1115682  0.10321246 0.09271984
 0.07900692 0.06083911]","[0.00492627 0.00780475 0.01118109 0.01559837 0.02151417 0.02930053
 0.03924399 0.05154556 0.06632071 0.08359942 0.10332613 0.12535977
 0.14947375 0.17535595 0.20261171 0.23081135 0.25955252 0.28846846
 0.31723575 0.34559068 0.37333299 0.40032587 0.42649594 0.45183326
 0.47639137 0.50028722 0.52370121 0.5468762  0.57009781 0.5936653
 0.61788717 0.64308114 0.66957419 0.69770253 0.7278116  0.76025607
 0.79539988 0.83361616 0.87528731 0.92080495 0.97056996 1.02499244]","[12.9423458  13.23692831 13.9525762  14.96303498 16.15599354 17.43308416
 18.7098825  19.91590757 20.9946218  21.90343099 22.6136843  23.1106743
 23.39363693 23.4757515  23.38361452 23.14880314 22.79681819 22.34571554
 21.80808696 21.19523857 20.51813496 19.78740321 19.0133329  18.2058761
 17.37464737 16.52892377 15.67764485 14.82939431 13.99204513 13.17223247
 12.37527446 11.60517215 10.86460947 10.15495328  9.47625333  8.82724229
  8.20533574  7.60663216  7.02591294  6.45664239  5.8909677   5.31971899]"
