r/R(chord),c/R,r/R(pitch),twist (deg),T,Q,P,FM
"[0.03805239 0.0676741  0.0992482  0.13257362 0.16745793 0.20371734
 0.2411767  0.27966949 0.31903781 0.35913242 0.39981271 0.44094668
 0.48241101 0.52409097 0.5658805  0.60768215 0.64940713 0.69097526
 0.73231501 0.77336348 0.81406641 0.85437818 0.89426178 0.93368887
 0.97263973 1.01110325]","[0.1061434  0.1875725  0.24838949 0.29173384 0.32049854 0.33733008
 0.34462844 0.34454712 0.3389931  0.32962688 0.31786245 0.3048673
 0.29156243 0.27862233 0.266475   0.25530193 0.24503814 0.23537212
 0.22574586 0.21535488 0.20314818 0.18782827 0.16785114 0.14142632
 0.10651681 0.06083911]","[0.00492627 0.00780475 0.01118109 0.01559837 0.02151417 0.02930053
 0.03924399 0.05154556 0.06632071 0.08359942 0.10332613 0.12535977
 0.14947375 0.17535595 0.20261171 0.23081135 0.25955252 0.28846846
 0.31723575 0.34559068 0.37333299 0.40032587 0.42649594 0.45183326
 0.47639137 0.50028722 0.52370121 0.5468762  0.57009781 0.5936653
 0.61788717 0.64308114 0.66957419 0.69770253 0.7278116  0.76025607
 0.79539988 0.83361616 0.87528731 0.92080495 0.97056996 1.02499244]","[12.9423458  13.15742569 13.66406624 14.37654146 15.21810572 16.12099374
 17.0264206  17.88458173 18.65465292 19.30479031 19.81213041 20.16279007
 20.3518665  20.38343727 20.2703431  20.03070529 19.68336149 19.2472612
 18.74089562 18.18109534 17.58275862 16.95885031 16.3204018  15.67651103
 15.03434249 14.39912722 13.77416283 13.1608448  12.55927307 11.96915279
 11.38992983 10.8207908  10.26066309  9.70821483  9.16185494  8.6197331
  8.07973973  7.53950606  6.99640403  6.44754639  5.88978662  5.31971899]",2.1337281886236923,0.028711416924544778,16.235923767174636,0.6164644532405824
"[0.03805239 0.0676741  0.0992482  0.13257362 0.16745793 0.20371734
 0.2411767  0.27966949 0.31903781 0.35913242 0.39981271 0.44094668
 0.48241101 0.52409097 0.5658805  0.60768215 0.64940713 0.69097526
 0.73231501 0.77336348 0.81406641 0.85437818 0.89426178 0.93368887
 0.97263973 1.01110325]","[0.1061434  0.16162246 0.20244472 0.23076023 0.2485625  0.25768848
 0.25981857 0.25647663 0.24902995 0.23868929 0.22650885 0.21338628
 0.20006266 0.18712256 0.17499397 0.16394833 0.15410055 0.14540896
 0.13767537 0.13054501 0.12350658 0.11589223 0.10687754 0.09548155
 0.08056676 0.06083911]","[0.00492627 0.00780475 0.01118109 0.01559837 0.02151417 0.02930053
 0.03924399 0.05154556 0.06632071 0.08359942 0.10332613 0.12535977
 0.14947375 0.17535595 0.20261171 0.23081135 0.25955252 0.28846846
 0.31723575 0.34559068 0.37333299 0.40032587 0.42649594 0.45183326
 0.47639137 0.50028722 0.52370121 0.5468762  0.57009781 0.5936653
 0.61788717 0.64308114 0.66957419 0.69770253 0.7278116  0.76025607
 0.79539988 0.83361616 0.87528731 0.92080495 0.97056996 1.02499244]","[12.9423458  13.15131011 13.64187317 14.33142658 15.14596051 16.02006371
 16.89692353 17.72832589 18.47465531 19.10489487 19.59662626 19.93602974
 20.11788416 20.14556695 20.03086068 19.79085161 19.44386482 19.00891856
 18.50495783 17.94923816 17.35696044 16.74126932 16.11325325 15.48194448
 14.85431903 14.23529672 13.62774113 13.03249484 12.44905983 11.8766082
 11.31413409 10.76045378 10.21420567  9.67385033  9.13767045  8.60377085
  8.0700785   7.53434251  6.99413411  6.44684669  5.88969577  5.31971899]",757.6691882712367,11.476169386849573,6489.620898674166,10.319924325971382
"[0.03805239 0.0676741  0.0992482  0.13257362 0.16745793 0.20371734
 0.2411767  0.27966949 0.31903781 0.35913242 0.39981271 0.44094668
 0.48241101 0.52409097 0.5658805  0.60768215 0.64940713 0.69097526
 0.73231501 0.77336348 0.81406641 0.85437818 0.89426178 0.93368887
 0.97263973 1.01110325]","[0.1061434  0.16630198 0.21072984 0.24175547 0.26153457 0.27205008
 0.27511215 0.27235819 0.26525282 0.25508788 0.24298245 0.22988285
 0.21656262 0.20362252 0.19149055 0.18042193 0.17049913 0.16163183
 0.15355693 0.1458386  0.13786818 0.1288643  0.11787278 0.10376667
 0.08524628 0.06083911]","[0.00492627 0.00780475 0.01118109 0.01559837 0.02151417 0.02930053
 0.03924399 0.05154556 0.06632071 0.08359942 0.10332613 0.12535977
 0.14947375 0.17535595 0.20261171 0.23081135 0.25955252 0.28846846
 0.31723575 0.34559068 0.37333299 0.40032587 0.42649594 0.45183326
 0.47639137 0.50028722 0.52370121 0.5468762  0.57009781 0.5936653
 0.61788717 0.64308114 0.66957419 0.69770253 0.7278116  0.76025607
 0.79539988 0.83361616 0.87528731 0.92080495 0.97056996 1.02499244]","[12.9423458  13.17577245 13.73064546 14.51188612 15.43454137 16.42378384
 17.41491181 18.35334923 19.19464574 19.90447662 20.45864284 20.84307104
 21.05381352 21.09704825 20.98879035 20.75026633 20.40185149 19.96228912
 19.44870901 18.87666685 18.26015316 17.61159329 16.94184744 16.26021066
 15.57441284 14.89061873 14.21342791 13.54589469 12.88991277 12.24678656
 11.61731706 11.00180188 10.40003533  9.81130832  9.23440842  8.66761983
  8.10872343  7.5549967   7.00321378  6.44964546  5.89005918  5.31971899]",2.238371736891632,0.030525893274340136,17.26198596988795,0.6229941400267875
"[0.03805239 0.0676741  0.0992482  0.13257362 0.16745793 0.20371734
 0.2411767  0.27966949 0.31903781 0.35913242 0.39981271 0.44094668
 0.48241101 0.52409097 0.5658805  0.60768215 0.64940713 0.69097526
 0.73231501 0.77336348 0.81406641 0.85437818 0.89426178 0.93368887
 0.97263973 1.01110325]","[0.1061434  0.16162246 0.20244472 0.23076023 0.2485625  0.25768848
 0.25981857 0.25647663 0.24902995 0.23868929 0.22650885 0.21338628
 0.20006266 0.18712256 0.17499397 0.16394833 0.15410055 0.14540896
 0.13767537 0.13054501 0.12350658 0.11589223 0.10687754 0.09548155
 0.08056676 0.06083911]","[0.00492627 0.00780475 0.01118109 0.01559837 0.02151417 0.02930053
 0.03924399 0.05154556 0.06632071 0.08359942 0.10332613 0.12535977
 0.14947375 0.17535595 0.20261171 0.23081135 0.25955252 0.28846846
 0.31723575 0.34559068 0.37333299 0.40032587 0.42649594 0.45183326
 0.47639137 0.50028722 0.52370121 0.5468762  0.57009781 0.5936653
 0.61788717 0.64308114 0.66957419 0.69770253 0.7278116  0.76025607
 0.79539988 0.83361616 0.87528731 0.92080495 0.97056996 1.02499244]","[12.9423458  13.22469714 13.90819005 14.87280521 16.01170311 17.2312241
 18.45088836 19.6033959  20.63462659 21.50364011 22.18267601 22.65715365
 22.92567225 23.00001085 22.90464969 22.66909578 22.31782485 21.86903025
 21.33621137 20.73152422 20.0665386  19.35224122 18.59903581 17.81674301
 17.01460046 16.20126276 15.38480146 14.57269439 13.77161865 12.98714329
 12.22368298 11.4844981  10.77169464 10.08622429  9.42788435  8.7953178
  8.18601328  7.59630507  7.02137311  6.455243    5.89078599  5.31971899]",2.4158758506292632,0.03410605852696193,19.28652172401728,0.6252222266064569
"[0.03805239 0.0676741  0.0992482  0.13257362 0.16745793 0.20371734
 0.2411767  0.27966949 0.31903781 0.35913242 0.39981271 0.44094668
 0.48241101 0.52409097 0.5658805  0.60768215 0.64940713 0.69097526
 0.73231501 0.77336348 0.81406641 0.85437818 0.89426178 0.93368887
 0.97263973 1.01110325]","[0.1061434  0.16842903 0.2144958  0.24675331 0.26743097 0.27857808
 0.28206378 0.27957709 0.27262685 0.26254178 0.25047045 0.2373813
 0.2240626  0.2111225  0.19898899 0.18790993 0.17795303 0.16900586
 0.16077583 0.15279022 0.14439618 0.1347607  0.12287061 0.10753264
 0.08737333 0.06083911]","[0.00492627 0.00780475 0.01118109 0.01559837 0.02151417 0.02930053
 0.03924399 0.05154556 0.06632071 0.08359942 0.10332613 0.12535977
 0.14947375 0.17535595 0.20261171 0.23081135 0.25955252 0.28846846
 0.31723575 0.34559068 0.37333299 0.40032587 0.42649594 0.45183326
 0.47639137 0.50028722 0.52370121 0.5468762  0.57009781 0.5936653
 0.61788717 0.64308114 0.66957419 0.69770253 0.7278116  0.76025607
 0.79539988 0.83361616 0.87528731 0.92080495 0.97056996 1.02499244]","[12.9423458  13.12480923 13.54570318 14.13592874 14.83333123 15.58270024
 16.33576957 17.05121728 17.69466568 18.23868131 18.66277496 18.95340166
 19.10396068 19.11479554 18.99310354 18.75148566 18.40604592 17.97610045
 17.48256072 16.94452375 16.37850166 15.79841835 15.21560956 14.63882279
 14.07421741 13.52536453 12.99324713 12.47631167 11.97146915 11.47558165
 10.98568588 10.49899333 10.01289021  9.52493752  9.03287099  8.53460112
  8.02821317  7.51196714  6.98429781  6.44381469  5.88930208  5.31971899]",2.3973592386687512,0.03339384078679665,18.88377208037056,0.6312295566164534
"[0.03805239 0.0676741  0.0992482  0.13257362 0.16745793 0.20371734
 0.2411767  0.27966949 0.31903781 0.35913242 0.39981271 0.44094668
 0.48241101 0.52409097 0.5658805  0.60768215 0.64940713 0.69097526
 0.73231501 0.77336348 0.81406641 0.85437818 0.89426178 0.93368887
 0.97263973 1.01110325]","[0.1061434  0.18161676 0.23784479 0.27773989 0.30398863 0.31905168
 0.32516388 0.32433422 0.31834582 0.30875596 0.29689605 0.28387166
 0.27056248 0.25762238 0.24547935 0.23433553 0.22416722 0.21472484
 0.20553296 0.19589032 0.18486978 0.17131836 0.1538572  0.13088162
 0.10056106 0.06083911]","[0.00492627 0.00780475 0.01118109 0.01559837 0.02151417 0.02930053
 0.03924399 0.05154556 0.06632071 0.08359942 0.10332613 0.12535977
 0.14947375 0.17535595 0.20261171 0.23081135 0.25955252 0.28846846
 0.31723575 0.34559068 0.37333299 0.40032587 0.42649594 0.45183326
 0.47639137 0.50028722 0.52370121 0.5468762  0.57009781 0.5936653
 0.61788717 0.64308114 0.66957419 0.69770253 0.7278116  0.76025607
 0.79539988 0.83361616 0.87528731 0.92080495 0.97056996 1.02499244]","[12.9423458  13.08403866 13.39774936 13.83516284 14.35236312 14.90983335
 15.47245577 16.00951172 16.49468164 16.90604507 17.22608066 17.44166615
 17.54407841 17.52899337 17.39655409 17.15246112 16.80940146 16.38714951
 15.90964209 15.39880928 14.87318046 14.34787841 13.83461925 13.3417125
 12.87406106 12.43316118 12.0171025  11.62064525 11.23671424 10.85861771
 10.48038094 10.09674649  9.70317412  9.29584088  8.87164105  8.42818615
  7.96380496  7.4775435   6.96916503  6.43915008  5.8886964   5.31971899]",2.266452267658484,0.03294294707310282,18.628797692242298,0.5881816075540296
"[0.03805239 0.0676741  0.0992482  0.13257362 0.16745793 0.20371734
 0.2411767  0.27966949 0.31903781 0.35913242 0.39981271 0.44094668
 0.48241101 0.52409097 0.5658805  0.60768215 0.64940713 0.69097526
 0.73231501 0.77336348 0.81406641 0.85437818 0.89426178 0.93368887
 0.97263973 1.01110325]","[0.1061434  0.15396507 0.18888724 0.21276802 0.22733547 0.23418768
 0.23479271 0.23048861 0.22248345 0.21185525 0.19955205 0.18639187
 0.17306273 0.16012263 0.14799957 0.13699153 0.12726651 0.11886246
 0.11168736 0.10551915 0.10000578 0.0946652  0.08888532 0.08192408
 0.07290937 0.06083911]","[0.00492627 0.00780475 0.01118109 0.01559837 0.02151417 0.02930053
 0.03924399 0.05154556 0.06632071 0.08359942 0.10332613 0.12535977
 0.14947375 0.17535595 0.20261171 0.23081135 0.25955252 0.28846846
 0.31723575 0.34559068 0.37333299 0.40032587 0.42649594 0.45183326
 0.47639137 0.50028722 0.52370121 0.5468762  0.57009781 0.5936653
 0.61788717 0.64308114 0.66957419 0.69770253 0.7278116  0.76025607
 0.79539988 0.83361616 0.87528731 0.92080495 0.97056996 1.02499244]","[12.9423458  13.13296335 13.57529395 14.19608192 14.92952486 15.71727361
 16.50843232 17.25955839 17.93466249 18.50520856 18.95011382 19.25574876
 19.41593713 19.43195597 19.31241343 19.07129056 18.72537481 18.29389064
 17.79714444 17.25366665 16.6795659  16.08852634 15.49180762 14.89824485
 14.31424868 13.74380521 13.18847605 12.64744495 12.11842013 11.59897443
 11.08674687 10.5794427  10.07483343  9.57075685  9.06511698  8.55588411
  8.04109481  7.51885187  6.98732436  6.44474762  5.88942321  5.31971899]",2.3402604266024727,0.036316386546261445,20.536432772159188,0.5598190541193783
"[0.03805239 0.0676741  0.0992482  0.13257362 0.16745793 0.20371734
 0.2411767  0.27966949 0.31903781 0.35913242 0.39981271 0.44094668
 0.48241101 0.52409097 0.5658805  0.60768215 0.64940713 0.69097526
 0.73231501 0.77336348 0.81406641 0.85437818 0.89426178 0.93368887
 0.97263973 1.01110325]","[0.1061434  0.15353966 0.18813405 0.21176845 0.22615619 0.23288208
 0.23340238 0.22904484 0.22100864 0.21036447 0.19805445 0.18489219
 0.17156274 0.15862263 0.14649988 0.13549393 0.12577573 0.11738766
 0.11024358 0.10412882 0.09870018 0.09348592 0.08788576 0.08117088
 0.07248396 0.06083911]","[0.00492627 0.00780475 0.01118109 0.01559837 0.02151417 0.02930053
 0.03924399 0.05154556 0.06632071 0.08359942 0.10332613 0.12535977
 0.14947375 0.17535595 0.20261171 0.23081135 0.25955252 0.28846846
 0.31723575 0.34559068 0.37333299 0.40032587 0.42649594 0.45183326
 0.47639137 0.50028722 0.52370121 0.5468762  0.57009781 0.5936653
 0.61788717 0.64308114 0.66957419 0.69770253 0.7278116  0.76025607
 0.79539988 0.83361616 0.87528731 0.92080495 0.97056996 1.02499244]","[12.9423458  13.23081272 13.93038312 14.91792009 16.08384833 17.33215413
 18.58038543 19.75965174 20.81462419 21.70353555 22.39818016 22.88391398
 23.15965459 23.23788117 23.14413211 22.90894946 22.55732152 22.10737289
 21.57214916 20.9633814  20.29233678 19.56982222 18.80618435 18.01130955
 17.19462392 16.36509327 15.53122316 14.70104435 13.88183189 13.07968788
 12.29947872 11.54483512 10.81815206 10.12058878  9.45206884  8.81128005
  8.19567451  7.60146862  7.02364303  6.4559427   5.89087685  5.31971899]",1.972031621036419,0.025572875048845936,14.461120149232341,0.6149577483912465
"[0.03805239 0.0676741  0.0992482  0.13257362 0.16745793 0.20371734
 0.2411767  0.27966949 0.31903781 0.35913242 0.39981271 0.44094668
 0.48241101 0.52409097 0.5658805  0.60768215 0.64940713 0.69097526
 0.73231501 0.77336348 0.81406641 0.85437818 0.89426178 0.93368887
 0.97263973 1.01110325]","[0.1061434  0.15353966 0.18813405 0.21176845 0.22615619 0.23288208
 0.23340238 0.22904484 0.22100864 0.21036447 0.19805445 0.18489219
 0.17156274 0.15862263 0.14649988 0.13549393 0.12577573 0.11738766
 0.11024358 0.10412882 0.09870018 0.09348592 0.08788576 0.08117088
 0.07248396 0.06083911]","[0.00492627 0.00780475 0.01118109 0.01559837 0.02151417 0.02930053
 0.03924399 0.05154556 0.06632071 0.08359942 0.10332613 0.12535977
 0.14947375 0.17535595 0.20261171 0.23081135 0.25955252 0.28846846
 0.31723575 0.34559068 0.37333299 0.40032587 0.42649594 0.45183326
 0.47639137 0.50028722 0.52370121 0.5468762  0.57009781 0.5936653
 0.61788717 0.64308114 0.66957419 0.69770253 0.7278116  0.76025607
 0.79539988 0.83361616 0.87528731 0.92080495 0.97056996 1.02499244]","[12.9423458  13.11665512 13.51611242 14.07577556 14.73713761 15.44812686
 16.16310681 16.84287617 17.45466887 17.97215406 18.3754361  18.65105456
 18.79198423 18.7976351  18.67379365 18.43168075 18.08671703 17.65831026
 17.16797699 16.63538086 16.07743742 15.50831036 14.93941149 14.37940074
 13.83418614 13.30692386 12.7980182  12.30517838 11.82451817 11.35218886
 10.8846249  10.41854396  9.95094699  9.47911819  9.000625    8.51331813
  8.01533153  7.50508241  6.98127125  6.44288177  5.88918094  5.31971899]",2.1785221032422393,0.028480761365201984,16.10549112124126,0.641128944265014
"[0.03805239 0.0676741  0.0992482  0.13257362 0.16745793 0.20371734
 0.2411767  0.27966949 0.31903781 0.35913242 0.39981271 0.44094668
 0.48241101 0.52409097 0.5658805  0.60768215 0.64940713 0.69097526
 0.73231501 0.77336348 0.81406641 0.85437818 0.89426178 0.93368887
 0.97263973 1.01110325]","[0.1061434  0.1875725  0.24838949 0.29173384 0.32049854 0.33733008
 0.34462844 0.34454712 0.3389931  0.32962688 0.31786245 0.3048673
 0.29156243 0.27862233 0.266475   0.25530193 0.24503814 0.23537212
 0.22574586 0.21535488 0.20314818 0.18782827 0.16785114 0.14142632
 0.10651681 0.06083911]","[0.00492627 0.00780475 0.01118109 0.01559837 0.02151417 0.02930053
 0.03924399 0.05154556 0.06632071 0.08359942 0.10332613 0.12535977
 0.14947375 0.17535595 0.20261171 0.23081135 0.25955252 0.28846846
 0.31723575 0.34559068 0.37333299 0.40032587 0.42649594 0.45183326
 0.47639137 0.50028722 0.52370121 0.5468762  0.57009781 0.5936653
 0.61788717 0.64308114 0.66957419 0.69770253 0.7278116  0.76025607
 0.79539988 0.83361616 0.87528731 0.92080495 0.97056996 1.02499244]","[12.9423458  13.22062008 13.89339467 14.84272862 15.9636063  17.16393741
 18.36455698 19.49922535 20.51462818 21.37037649 22.03900658 22.5059801
 22.76968402 22.84143063 22.74499474 22.50919332 22.1581604  21.71013516
 21.1789195  20.57695278 19.91600648 19.20718723 18.46093677 17.68703198
 16.89458483 16.09204243 15.287187   14.48712774 13.69814316 12.92544689
 12.17315249 11.44427341 10.74072303 10.06331462  9.41176135  8.7846763
  8.17957246  7.5928627   7.01985983  6.45477654  5.89072543  5.31971899]",1.9434057165004939,0.024873157714579496,14.065439318586582,0.618540744940441
